RANK,JANUARY,,FEBRUARY,,MARCH,,APRIL,,MAY,,JUNE,,JULY,,AUGUST,,SEPTEMBER,,OCTOBER,,NOVEMBER,,DECEMBER,
,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE,ICD 10,VALUE
,,,,,C53,1,,,P07.3,1,S06.6,1,,,,,Z45.2,1,Q89.9,1,J91.0,1,C78.7,1
,,,,,K66.1,1,,,E43,1,I49.9,1,,,,,X99,1,J16.8,1,E11.6,1,,
,,,,,R57.1,1,,,P27.9,1,C79.9,1,,,,,E87.6,1,S06.9,1,J45.9,1,,
,,,,,D02.2,1,,,C11.9,1,,,,,,,G03.9,1,G30,1,O14.9,1,,
,,,,,Q89.7,1,,,P91.6,1,,,,,,,E87.8,1,A35,1,I09.9,1,,
,,,,,N18.6,1,,,C50,1,,,,,,,A17.0,1,E05.0,1,D63,1,,
,,,,,S06.9,1,,,S02.3,1,,,,,,,I60.9,1,I08.1,1,K74.6,1,,
,,,,,C11.9,1,,,Q25.0,1,,,,,,,I61.9,1,A97.2,1,J91.8,1,,
,,,,,N13.9,1,,,X99,1,,,,,,,P91.6,1,N,1,C11.9,1,,
,,,,,,,,,N,1,,,,,,,I51.9,1,C81,1,O32.1,1,,
,,,,,,,,,,,,,,,,,Q24.9,1,S14.1,1,I50.9,1,,
,,,,,,,,,,,,,,,,,K65.1,1,,,J80,1,,
,,,,,,,,,,,,,,,,,W55,1,,,J44.1,1,,
,,,,,,,,,,,,,,,,,A35,1,,,R19.7,1,,
,,,,,,,,,,,,,,,,,Z11.1,1,,,G41.9,1,,
,,,,,,,,,,,,,,,,,G80.9,1,,,Q89.7,1,,
,,,,,,,,,,,,,,,,,I21.3,1,,,N,1,,
,,,,,,,,,,,,,,,,,I67.1,1,,,,,,
,,,,,,,,,,,,,,,,,R57.1,1,,,,,,
